Folge,Titel,Sender,Erstausstrahlung,Ermittler,Fall,Autor,Regie,Besonderheiten
268,Amoklauf,NDR,1993-01-03,Stoever und Brockmöller,19,"Dieter Hirschberg, Werner Masten, Asta Scheib",Werner Masten,Brisantes Thema: Türken-Kurden-Konflikt
269,Berlin – beste Lage,SFB,1993-01-10,Markowitz,4,"Rainer Berg, Matti Geschonneck",Matti Geschonneck,
270,Renis Tod,HR,1993-01-31,Brinkmann,9,Heinz Schirk,Heinz Schirk,
271,Verbranntes Spiel,MDR,1993-02-28,Ehrlicher und Kain,3,Knut Boeser,Bodo Fürneisen,
272,Kesseltreiben,SR,1993-03-07,Palu,6,Richard Binder,Peter Schulze-Rohr,
273,Bienzle und die schöne Lau,SDR,1993-03-28,Bienzle,2,"Felix Huby, Werner Zeindler",Hartmut Griesmayr,
274,Flucht nach Miami,WDR,1993-04-18,"Flemming, Koch und Ballauf",4,"Nikolaus Stein von Kamienski, Jacki Engelken",Ulrich Stark,
275,Tod einer alten Frau,SFB,1993-04-25,Markowitz,5,"Claude Cueni, Günter Lamprecht (Idee)",Matti Geschonneck,
276,Gehirnwäsche,SF,1993-06-06,von Burg und Gertsch,1,Peter Zeindler,Bernhard Giger,
277,Gefährliche Freundschaft,WDR,1993-07-11,"Flemming, Koch und Ballauf",5,Wolfgang Mühlbauer,Ulrich Stark,
278,Ein Sommernachtstraum,BR,1993-07-25,Batic und Leitmayr,5,"Franz Geiger, Hans Dräxler",Walter Bannert,
279,Alles Palermo,BR,1993-08-29,Batic und Leitmayr,6,Josef Rödl,Josef Rödl,
280,Um Haus und Hof,NDR,1993-09-26,Stoever und Brockmöller,20,Raimund Weber,Werner Masten,
281,Stahlwalzer,ORF,1993-10-24,Fichtl,5 (6),Peter Zingler,Hans Noever,
282,Die Zärtlichkeit des Monsters,SWF,1993-10-31,Odenthal,5,Hartmut Schoen,Hartmut Schoen,
283,Bauernopfer,MDR,1993-11-21,Ehrlicher und Kain,4,Vadim Glowna,Vadim Glowna,
284,Himmel und Erde,BR,1993-11-28,Batic und Leitmayr,7,Ljubisa Ristic,Markus Fischer,
285,Deserteure,WDR,1993-12-19,"Flemming, Koch und Ballauf",6,Horst Vocks,Ilse Hofmann,
286,Bienzle und das Narrenspiel,SDR,1994-01-23,Bienzle,3,Felix Huby,Hartmut Griesmayr,
287,Die Sache Baryschna,SFB,1994-02-06,Markowitz,6,Andreas Pflüger,Matti Geschonneck,
288,Ein Wodka zuviel,NDR,1994-03-06,Stoever und Brockmöller,21,Dieter Hirschberg,Werner Masten,Stoever in der Hand eines Geiselnehmers
289,Der Rastplatzmörder,HR,1994-03-27,Brinkmann,10,Sylvia Hoffman,Sylvia Hoffman,
290,Mord in der Akademie,WDR,1994-04-24,"Flemming, Koch und Ballauf",7,Claus-Michael Rohne,Ulrich Stark,
291,Laura mein Engel,MDR,1994-05-01,Ehrlicher und Kain,5,Richard Hey,Ottokar Runze,
292,Singvogel,NDR,1994-05-23,Stoever und Brockmöller,22,Willi Voss,Michael Knof,
293,Klassen-Kampf,BR,1994-06-05,Batic und Leitmayr,8,Friedemann Fromm,Friedemann Fromm,Erste Folge im 16:9-Breitbildformat
294,Jetzt und Alles,MDR,1994-07-31,Ehrlicher und Kain,6,Bernd Anger,Bernd Böhlich,
295,Die Frau an der Straße,WDR,1994-08-14,"Flemming, Koch und Ballauf",8,"Nikolaus Stein von Kamienski, Jacki Engelken",Ilse Hofmann,KHM Ballauf verlässt das Team und wandert nach Kanada aus
296,Geschlossene Akten,SFB,1994-09-04,Markowitz,7,"Günter Lamprecht, Matti Geschonneck",Matti Geschonneck,Goldener Gong an Günter Lamprecht und Matti Geschonneck
297,Herrenboxer,SF,1994-10-16,von Burg und Gertsch,2,Martin Suter,Christian von Castelberg,
298,Ostwärts,ORF,1994-10-30,Fichtl,6 (7),Peter Zingler,Oliver Hirschbiegel,
299,Der schwarze Engel,SWF,1994-11-13,Odenthal,6,Stefan Kolditz,Nina Grosse,
300,… und die Musi spielt dazu,BR,1994-12-11,Batic und Leitmayr,9,Orkun Ertener,Hanns Christian Müller,Goldener Gong an Hanns Christian Müller
301,Tod eines Polizisten,NDR,1995-01-01,Stoever und Brockmöller,23,"Dieter Hirschberg, Gerd Reinhard",Jürgen Roland,
302,Ein ehrenwertes Haus,MDR,1995-01-08,Ehrlicher und Kain,7,Stefan Kolditz,Petra Haffter,
303,Eine mörderische Rolle,HR,1995-02-19,Felber,1,Rainer Bär,Rainer Bär,Einziger Fall dieses Ermittlers.
304,Die Kampagne,SWF,1995-03-05,Odenthal,7,Thomas Bohn,Thomas Bohn,Nominiert für den Adolf-Grimme-Preis
305,Endstation,SFB,1995-03-12,Markowitz,8,"Günter Lamprecht, Matti Geschonneck",Hagen Mueller-Stahl,"Markowitz in der Hand eines Geiselnehmers, Letzter Fall dieses Ermittlers."
306,Mordnacht,HR,1995-03-26,Brinkmann,11,Heinz Schirk,Heinz Schirk,
307,Im Herzen Eiszeit,BR,1995-04-02,Batic und Leitmayr,10,Peter Probst,Hans Noever,"Rio Reiser in der Hauptrolle, Moshammer mit kurzer Gastrolle"
308,Die schwarzen Bilder,WDR,1995-04-17,Flemming und Koch,9,Susanne Schneider,Erwin Keusch,
309,Bienzle und der Mord im Park,SDR,1995-05-07,Bienzle,4,Felix Huby,Dieter Schlotterbeck,
310,Tödliche Freundschaft,NDR,1995-05-21,Stoever und Brockmöller,24,Raimund Weber,Herrmann Zschoche,
311,Rückfällig,SF,1995-06-05,von Burg und Gertsch,3,"Ulrike Bliefert, Marcus P. Nester",Daniel Helfer,
312,Falsches Alibi,MDR,1995-06-18,Ehrlicher und Kain,8,Peter Probst,Bernd Böhlich,
313,Tod eines Auktionators,WDR,1995-06-25,Flemming und Koch,10,Claus-Michael Rohne,Erwin Keusch,
314,Mordauftrag,HR,1995-07-09,Brinkmann,12,Hans Kelch,Wolfgang Luderer,
315,Bienzle und die Feuerwand,SDR,1995-07-16,Bienzle,5,Felix Huby,Hartmut Griesmayr,
316,Herz As,WDR,1995-07-30,Flemming und Koch,11,Horst Vocks,Ulrich Stark,
317,Die Freundin,ORF,1995-08-13,Fichtl,7 (8),"Jürgen Kaizik, Albert Stein (Idee)",Jürgen Kaizik,
318,Der König kehrt zurück,NDR,1995-09-17,Stoever und Brockmöller,25,"Felix Mitterer, Michael Gutmann",Michael Gutmann,
319,Bomben für Ehrlicher,MDR,1995-10-01,Ehrlicher und Kain,9,Hans-Werner Honert,Hans Werner,Gastauftritte von Wim Thoelke und Christiane Gerboth
320,Eine todsichere Falle,SR,1995-10-15,Palu,7,Alain Page,Hans-Christoph Blumenberg,
321,Blutiger Asphalt,BR,1995-11-12,Batic und Leitmayr,11,Harald Göckeritz,Vivian Naefe,
322,Frau Bu lacht,BR,1995-11-26,Batic und Leitmayr,12,Günter Schütter,Dominik Graf,Goldener Gong an Dominik Graf. RTL Goldener Löwe 1996 (Bildgestaltung) an Benedict Neuenfels
323,Der Spezialist,WDR,1996-01-01,Flemming und Koch,12,"Alexander Adolph, Markus Fischer, Markus Fischer (Idee)",Markus Fischer,
324,Heilig Blut,WDR,1996-01-14,Flemming und Koch,13,"Dorothee Schön, Susanne Schneider (Idee), Dorothee Schön (Idee)",Hartmut Griesmayr,
325,Freitagsmörder,HR,1996-01-21,Brinkmann,13,Heinz Schirk,Heinz Schirk,
326,Schneefieber,SWF,1996-02-18,Odenthal,8,Fred Breinersdorfer,Peter Schulze-Rohr,
327,"Wer nicht schweigt, muß sterben",MDR,1996-03-10,Ehrlicher und Kain,10,Klaus Richter,Hans Werner,
328,Tod auf Neuwerk,NDR,1996-03-24,Stoever und Brockmöller,26,Raimund Weber,Helmut Förnbacher,
329,Bei Auftritt Mord,MDR,1996-03-31,Ehrlicher und Kain,11,Peter Vogel,Hans Werner,
330,Das Mädchen mit der Puppe,WDR,1996-04-08,Flemming und Koch,14,"Peter Märthesheimer, Pea Fröhlich",Markus Fischer,
331,Fetischzauber,NDR,1996-05-05,Stoever und Brockmöller,27,"Thorsten Näter, Nicole Schürmann (Idee)",Thorsten Näter,
332,Die Abrechnung,SF,1996-05-12,von Burg und Gertsch,4,Markus Fischer,Markus Fischer,
333,Kolportage,ORF,1996-05-19,Fichtl,8 (9),Peter Zingler,Hans Noever,Letzter Fall dieses Ermittlers; basierend auf einer Studie von Dr. Roman Hummel.
334,Lockvögel,NDR,1996-05-27,Stoever und Brockmöller,28,Jörg Grünler,Jörg Grünler,
335,Tod im Jaguar,SFB,1996-06-09,Roiter und Zorowski,1,"Peter Sandmeyer, Raimund Kusserow",Jens Becker,Nach Kritik an einer missverständlichen Vorab-Pressemitteilung mit „antijüdischen Passagen“ und an der filmischen Darstellung von jüdischen Geschäftemachern wurde der Film nicht wiederholt[1]
336,Frankfurt–Miami,HR,1996-06-23,Brinkmann,14,"Jaques Labib, Frédéric Fajardie, Simon Michael",Klaus Biedermann,"Koproduktion mit der französischen Reihe La Mondaine des Senders TF1, dort unter dem Titel Héroïne de Francfort[11][12]"
337,Aida,BR,1996-07-07,Batic und Leitmayr,13,Wolfgang Hesse,Klaus Emmerich,
338,Mein ist die Rache,ORF,1996-07-14,Becker,1,"Dariusch Allahyari, Houchang Allahyari",Houchang Allahyari,Einziger Fall dieses Ermittlers
339,Der Phoenix-Deal,SFB,1996-07-28,Roiter und Zorowski,2,Frank Grützbach,Peter Ristau,
340,Schlaflose Nächte,SWF,1996-09-08,Odenthal,9,Hartmut Schoen,Hartmut Schoen,
341,Schattenwelt,BR,1996-09-22,Batic und Leitmayr,14,"Joachim Masannek, Josef Rödl",Josef Rödl,
342,Bienzle und der Traum vom Glück,SDR,1996-09-29,Bienzle,6,Felix Huby,Dieter Schlotterbeck,
343,Der kalte Tod,SWF,1996-10-06,Odenthal und Kopper,10,Sascha Arango Bueno,Nina Grosse,1. Fall für Mario Kopper mit Lena Odenthal
344,Buntes Wasser,SFB,1996-10-13,Roiter und Zorowski,3,Uwe Saeger,Pete Ariel,
345,Parteifreunde,NDR,1996-10-27,Stoever und Brockmöller,29,Detlef Müller,Ulrich Stark,
346,Krokodilwächter,SFB,1996-11-10,Roiter und Zorowski,4,Andreas Pflüger,Berno Kürten,"Wegen brutaler, sexistischer und menschenverachtender Darstellungen kritisiert und nicht wiederholt[1]"
347,Der Entscheider,SR,1996-11-24,Palu,8,"Jochen Senf, Michael Seyfried",Martin Buchhorn,
348,Perfect Mind – Im Labyrinth,BR,1996-12-15,Batic und Leitmayr,15,Christoph Fromm,Friedemann Fromm,Goldener Gong an Natalia Wörner
349,Die Reise in den Tod,MDR,1996-12-29,Ehrlicher und Kain,12,Hans-Werner Honert,Wolfgang Panzer,Ehrlicher wird zum Witwer
350,Tod im All,SWF,1997-01-12,Odenthal und Kopper,11,Thomas Bohn,Thomas Bohn,Nominiert für den Adolf-Grimme-Preis. Gastauftritte von Nina Hagen und Anke Engelke
351,Akt in der Sonne,HR,1997-02-02,Brinkmann,15,Heinz Schirk,Heinz Schirk,
352,Ausgespielt,NDR,1997-02-23,Stoever und Brockmöller,31,Hans Werner Kettenbach,Jürgen Roland,
353,Eulenburg,HR,1997-03-02,Brinkmann,16,Sylvia Hoffman,Sylvia Hoffman,
354,Brüder,WDR,1997-03-23,Flemming und Koch,15,Wolfgang Brenner,Hartmut Griesmayr,Letzter Fall dieses Ermittlerteams
355,Gefährliche Übertragung,NDR,1997-03-31,Sommer,1,Eva-Maria Mieke,Petra Haffter,Als Tatort ausgestrahlte Langfolge der Serie Die Kommissarin
356,"Liebe, Sex, Tod",BR,1997-04-06,Batic und Leitmayr,16,Christian Jeltsch,Peter Fratzscher,
357,Bierkrieg,MDR,1997-04-13,Ehrlicher und Kain,13,"Claudia Sontheim, Peter Zender",Wolfgang Panzer,
358,Hahnenkampf,ORF,1997-04-20,Kant und Varanasi,1,Gerhard J. Rekel,Hans Noever,Fichtl wurde zum Chefinspektor befördert und ist Oberinspektor Kants Vorgesetzter
359,Alptraum,NDR,1997-05-04,Sommer,2,Bodo Kirchhoff,Bodo Fürneisen,"Als Tatort ausgestrahlte Langfolge der Serie Die Kommissarin, letzter Fall dieser Ermittlerin in der Tatort-Reihe"
360,Morde ohne Leichen,ORF,1997-05-19,Kant und Varanasi,2,Wolfgang Murnberger,Wolfgang Murnberger,Letzter Fall dieses Ermittlerteams
361,Mordsgeschäfte,SFB,1997-05-25,Roiter und Zorowski,5,Andreas Pflüger,Jürgen Brauer,
362,Das Totenspiel,HR,1997-06-01,Brinkmann,17,Sylvia Hoffman,Sylvia Hoffman,
363,Mord hinterm Deich,NDR,1996-12-08,Stoever und Brockmöller,30,"Raimund Weber, Theodor J. Reisdorf (Roman)",Olaf Kreinsen,
364,Tödlicher Galopp,MDR,1997-06-29,Ehrlicher und Kain,14,Helmut Richter,Wolfgang Panzer,
365,Bienzle und der tiefe Sturz,SDR,1997-07-06,Bienzle,7,Felix Huby,Peter F. Bringmann,
366,Der Tod spielt mit,MDR,1997-07-27,Ehrlicher und Kain,15,Christian Limmer,Peter Vogel,
367,Schlüssel zum Mord,SFB,1997-08-10,Roiter und Zorowski,6,Leo W. Helm,Sylvia Hoffman,
368,Geld oder Leben,SFB,1997-09-07,Roiter und Zorowski,7,Berno Kürten,Berno Kürten,
369,Der Teufel,BR,1997-09-14,Batic und Leitmayr,17,Alexander Adolph,Thomas Freundner,
370,Eiskalt,SFB,1997-09-28,Roiter und Zorowski,8,"Henning Borgelt, Lienhard Wawrzyn",Kurt Ockermüller,Gastauftritt von Eiskunstläuferin Peggy Schwarz
371,Willkommen in Köln,WDR,1997-10-05,Ballauf und Schenk,1,Nikolaus Stein von Kamienski,Kaspar Heidelbach,
372,Bombenstimmung,WDR,1997-10-12,Ballauf und Schenk,2,"Peter Zingler, Michael Fengler (Idee), Margot Rothkirch (Idee)",Kaspar Heidelbach,
373,Nahkampf,SWF,1997-10-19,Odenthal und Kopper,12,Thomas Bohn,Thomas Bohn,
374,Undercover-Camping,NDR,1997-11-02,Stoever und Brockmöller,32,Michael Illner,Jürgen Bretzinger,
375,Bluthunde,BR,1997-12-21,Batic und Leitmayr,18,Norbert Ehry,Peter Schulze-Rohr,
376,Inflagranti,Radio Bremen,1997-12-28,Lürsen,1,Sabine Thiesler,Petra Haffter,
377,Russisches Roulette,SF,1998-01-18,von Burg und Gertsch,5,Pascal Verdosci,Walter Weber,
378,Rosen für Nadja,HR,1998-02-15,Brinkmann,18,Heinz Schirk,Heinz Schirk,
379,In der Falle,BR,1998-03-01,Batic und Leitmayr,19,Orkun Ertener,Peter Fratzscher,Deutscher Civis Fernsehpreis 1998 an Orkun Ertener und Peter Fratzscher
380,Jagdfieber,SWF,1998-03-29,Odenthal und Kopper,13,Fred Breinersdorfer,Peter Schulze-Rohr,
381,Blick in den Abgrund,SFB,1998-04-05,Roiter und Zorowski,9,Andreas Pflüger,Jürgen Brauer,
382,Gefährliche Zeugin,HR,1998-04-13,Brinkmann,19,Klaus Gietinger,Klaus Gietinger,
383,Manila,WDR,1998-04-19,Ballauf und Schenk,3,Nikolaus Stein von Kamienski,Nikolaus Stein von Kamienski,Thema Kinderhandel und Sextourismus; Dreharbeiten auf den Philippinen. Das Schicksal der Straßenkinder in Manila war Anlass zur Gründung des Hilfsvereins „Tatort – Straßen der Welt e. V.“ durch Mitglieder des Tatort-Teams.[14]
384,Brandwunden,Radio Bremen,1998-04-26,Lürsen,2,Thommie Bayer,Detlef Rönfeldt,
385,Am Ende der Welt,SF,1998-05-03,von Burg und Gertsch,6,Urs Aebersold,Helmut Förnbacher,
386,Arme Püppi,NDR,1998-05-10,Stoever und Brockmöller,33,"Helmut Förnbacher, Manfred Krug, Thorsten Näter",Helmut Förnbacher,Gastauftritt von Gerhard Delling
387,Fürstenschüler,MDR,1998-05-17,Ehrlicher und Kain,16,Stefan Kolditz,Frank Strecker,
388,Bildersturm,WDR,1998-06-21,Ballauf und Schenk,4,"Robert Schwentke, Jan Hinter",Nikolaus Stein von Kamienski,"Nominiert für den Adolf-Grimme-Preis. Goldener Gong an Dietmar Bär, Gunther Witte und Klaus J. Behrendt"
389,Schüsse auf der Autobahn,NDR,1998-07-05,Stoever und Brockmöller,34,"Raimund Weber, Peter Zingler (Idee)",Hartmut Griesmayr,
390,Ein Hauch von Hollywood,SFB,1998-07-13,Roiter und Zorowski,10,"Jiri Polák, Dialogbearbeitung Urs Odermatt",Urs Odermatt,"Satire auf das Krimigenre; vom SFB als „Experiment“ eingestuft, aus dem Hauptabendprogramm gestrichen und Montagnacht erstgesendet.[15]"
391,Tanz auf dem Hochseil,MDR,1998-07-26,Ehrlicher und Kain,17,Claudia Sontheim,Peter Vogel,
392,Money! Money!,MDR,1998-08-09,Ehrlicher und Kain,18,Fred Breinersdorfer,Peter Ristau,
393,Der zweite Mann,SFB,1998-08-16,Roiter und Zorowski,11,"Christos Yiannopoulos, Mitarbeit Petra Welzel",Sylvia Hoffman,
394,Bienzle und der Champion,SDR,1998-08-23,Bienzle,8,Felix Huby,Dieter Schlotterbeck,Gastauftritte von Dariusz Michalczewski und Chris Thompson
395,Todesbote,HR,1998-08-30,Brinkmann,20,Hans Kelch,Sylvia Hoffman,
396,Voll ins Herz,Radio Bremen,1998-09-13,Lürsen,3,Gabriella Wollenhaupt,Ulrich Stark,
397,Gefallene Engel,BR,1998-09-20,Batic und Leitmayr,20,Peter Probst,Thomas Freundner,
398,Streng geheimer Auftrag,WDR,1998-10-11,Ballauf und Schenk,5,Markus Fischer,Markus Fischer,
399,Engelchen flieg,SWR,1998-11-01,Odenthal und Kopper,14,Dorothee Schön,Hartmut Griesmayr,
400,Schwarzer Advent,BR,1998-11-08,Batic und Leitmayr,21,Christian Limmer,Jobst Oetzmann,Nominiert für den Adolf-Grimme-Preis. Goldener Gong an Christian Berkel
401,Berliner Weiße,SFB,1998-11-22,Roiter und Zorowski,12,"Paul Kroker, Richard Otto",Berno Kürten,Letzter Fall dieses Ermittlerteams
402,Allein in der Falle,SR,1998-12-27,Palu,9,"Alex Martin, Marion Reichert",Hans Noever,
403,Habgier,NDR,1999-01-10,Stoever und Brockmöller,35,Raimund Weber,Jürgen Bretzinger,Gastauftritt von Berti Vogts
404,Nie wieder Oper,ORF,1999-01-17,Eisner,1,"Robert Adrian Pejo, Peter Conolly-Smith",Robert Adrian Pejo,
405,Der Heckenschütze,HR,1999-02-07,Brinkmann,21,Heinz Schirk,Heinz Schirk,
406,Restrisiko,WDR,1999-02-14,Ballauf und Schenk,6,Peter Zingler,Claus-Michael Rohne,
407,Starkbier,BR,1999-03-07,Batic und Leitmayr,22,Michael Wogh,Peter Fratzscher,
408,Zwei Leben,SF,1999-03-21,von Burg und Gertsch,7,"Marcus P. Nester, Clemens Klopfenstein",Clemens Klopfenstein,
409,Mordfieber,SWR,1999-04-05,Odenthal und Kopper,15,Fred Breinersdorfer,Ulrich Stark,
410,Der Tod fährt Achterbahn,HR,1999-04-25,Brinkmann,22,Klaus Gietinger,Klaus Gietinger,
411,Kinder der Gewalt,WDR,1999-05-02,Ballauf und Schenk,7,"Edgar von Cossart, Ben Verbong",Ben Verbong,
412,Blinde Kuriere,HR,1999-05-09,Brinkmann,23,Sylvia Hoffman,Sylvia Hoffman,
413,Todesangst,MDR,1999-05-23,Ehrlicher und Kain,19,Peter Probst,Miko Zeuschner,
414,Traumhaus,NDR,1999-05-30,Stoever und Brockmöller,36,Raimund Weber,Ulrich Stark,
415,Absolute Diskretion,ORF,1999-06-27,Eisner,2,"Roland Gugganig, Rudolf John",Peter Payer,
416,Licht und Schatten,WDR,1999-07-04,Ballauf und Schenk,8,"Wolfgang Panzer, Klaus-Peter Wolf (Idee)",Wolfgang Panzer,
417,Dagoberts Enkel,SFB,1999-07-25,Hellmann und Ritter,1,"Horst Freund, Thomas Wittenburg",Hajo Gies,
418,Auf dem Kriegspfad,MDR,1999-08-01,Ehrlicher und Kain,20,Wolfgang Hesse,Peter Ristau,
419,Bienzle und der Zuckerbäcker,SWR,1999-08-15,Bienzle und Gächter,9,Felix Huby,Hans-Christoph Blumenberg,
420,Der Duft des Geldes,NDR,1999-08-29,Stoever und Brockmöller,37,Lienhard Wawrzyn,Helmut Förnbacher,
421,Strafstoß,SR,1999-09-05,Palu,10,"Peter Zingler, Erhard Schmied",Klaus Peter Weber,
422,Drei Affen,WDR,1999-09-26,Ballauf und Schenk,9,"Robert Schwentke, Jan Hinter",Kaspar Heidelbach,
423,Das Glockenbachgeheimnis,BR,1999-10-03,Batic und Leitmayr,23,Friedrich Ani,Martin Enlen,
424,Kriegsspuren,SWR,1999-10-10,Odenthal und Kopper,16,Harald Göckeritz,Nina Grosse,
425,Die apokalyptischen Reiter,Radio Bremen,1999-10-24,Lürsen,4,"Urs Aebersold, Bernd Schwamm",Martin Gies,
426,Fluch des Bernsteinzimmers,MDR,1999-10-31,Ehrlicher und Kain,21,Hans-Werner Honert,Hans-Werner Honert,Letzter Einsatz der Ermittler in Dresden
427,Bienzle und die blinde Wut,SWR,1999-11-14,Bienzle,10,Felix Huby,Hartmut Griesmayr,
428,Norbert,BR,1999-11-28,Batic und Leitmayr,24,Harald Göckeritz,Nikolaus Stein von Kamienski,Deutscher Fernsehpreis 2000 (Bester Schauspieler Nebenrolle) an Jürgen Tarrach
429,Martinsfeuer,WDR,1999-12-05,Ballauf und Schenk,10,"Hans Frank, Nikolaus Stein von Kamienski (Bearbeitung)",Nikolaus Stein von Kamienski,
430,Tödliches Labyrinth,SFB,1999-12-12,Hellmann und Ritter,2,"Christian Jeltsch, Fedor Mosnak",Dieter Berner,
431,Offene Rechnung,SWR,1999-12-19,Odenthal und Kopper,17,Norbert Ehry,Connie Walther,
432,Einsatz in Leipzig,MDR,2000-01-02,Ehrlicher und Kain,22,Fred Breinersdorfer,Thomas Freundner,
433,Blaues Blut,NDR,2000-01-09,Stoever und Brockmöller,38,Raimund Weber,Helmut Förnbacher,
434,Nach eigenen Gesetzen,HR,2000-01-16,Brinkmann,24,Bodo Kirchhoff,Josef Rödl,
435,Der Millenniumsmörder,ORF,2000-01-30,Eisner,3,Peter Moser,Thomas Roth,
436,Blüten aus Werder,SFB,2000-02-13,Hellmann und Ritter,3,Andreas Pflüger,Pete Ariel,
437,Bittere Mandeln,WDR,2000-03-05,Ballauf und Schenk,11,Karl-Heinz Käfer,Kaspar Heidelbach,
438,Viktualienmarkt,BR,2000-03-12,Batic und Leitmayr,25,Ingmar Gregorzewski,Berthold Mittermayr,
439,Bienzle und der Mann im Dunkeln,SWR,2000-03-26,Bienzle,11,Martina Brand,Dieter Schlotterbeck,
440,Kalte Herzen,SWR,2000-04-02,Odenthal und Kopper,18,Thomas Bohn,Thomas Bohn,Goldener Gong an Thomas Bohn
441,Chaos,SF,2000-04-09,von Burg und Gertsch,8,"Bettina Wilhelm, Jane Corbett",Christof Schertenleib,
442,Tödliches Verlangen,MDR,2000-04-24,Ehrlicher und Kain,23,Fred Breinersdorfer,Miko Zeuschner,
443,Der schwarze Ritter,SWR,2000-05-21,Odenthal und Kopper,19,Dorothee Schön,Didi Danquart,Teile des Films wurden im Europa-Park Rust gedreht.
444,Rattenlinie,NDR,2000-05-28,Stoever und Brockmöller,39,Raimund Weber,Hartmut Griesmayr,Stoever im Kloster
445,Von Bullen und Bären,SFB,2000-06-04,Hellmann und Ritter,4,Pim Richter,Thomas Freundner,
446,Das letzte Rodeo,SFB,2000-07-09,Hellmann und Ritter,5,"Thomas Wittenburg, Horst Freund",Pete Ariel,
447,Trittbrettfahrer,WDR,2000-07-16,Ballauf und Schenk,12,"Markus Fischer, Peter Zingler (Idee)",Markus Fischer,
448,Passion,ORF,2000-07-30,Eisner,4,Felix Mitterer,Ilse Hofmann,Erstausstrahlung am 17. November 1999 auf ORF 2. Erst nach der Erstausstrahlung zum Tatort umgewidmet.[16]
449,Direkt ins Herz,WDR,2000-08-06,Ballauf und Schenk(Gastauftritt Flemming),13,Wolfgang Panzer,Wolfgang Panzer,
450,Die Möwe,SR,2000-08-13,Palu,11,Erhard Schmied,Hans Noever,
451,Der Trippler,SFB,2000-08-20,Hellmann und Ritter,6,"Danuta Harrich-Zandberg, Norbert Sütsch",Michael Lähn,Letzter Fall für Hauptkommissar Robert Hellmann
452,Die kleine Zeugin,SWR,2000-08-27,Odenthal und Kopper,20,Harald Göckeritz,Miguel Alexandre,Günter-Strack-Fernsehpreis 2001 an Julia Hummer
453,Kleine Diebe,BR,2000-09-03,Batic und Leitmayr(Gastauftritt Odenthal),26,Harald Göckeritz,Vivian Naefe,"Bayerischer Fernsehpreis 2001 an Vivian Naefe, Miroslav Nemec und Udo Wachtveitl"
454,Mord am Fluss,HR,2000-09-10,Brinkmann,25,Klaus Gietinger,Klaus Gietinger,
455,Mauer des Schweigens,HR,2000-09-24,Brinkmann,26,Sylvia Hoffman,Sylvia Hoffman,
456,Der schwarze Skorpion,NDR,2000-10-15,Stoever und Brockmöller,40,"Felix Huby, Mohammad Ali Mohsenipour",Helmut Förnbacher,
457,Einmal täglich,BR,2000-10-29,Batic und Leitmayr,27,Markus Stromiedel,Peter Fratzscher,
458,Quartett in Leipzig,MDR/WDR,2000-11-26,Ehrlicher und Kain /Ballauf und Schenk,24 /14,"Hans-Werner Honert, Fred Breinersdorfer, Wolfgang Panzer",Kaspar Heidelbach,
459,Bienzle und das Doppelspiel,SWR,2000-12-10,Bienzle,12,"Felix Huby, Joachim Nelson",Hartmut Griesmayr,Goldener Gong an Günther Maria Halmer
460,Die Frau im Zug,WDR,2000-12-17,Ballauf und Schenk,15,Axel Götz,Martin Gies,
461,Tod vor Scharhörn,NDR,2001-01-07,Stoever und Brockmöller,41,Raimund Weber,Jürgen Bretzinger,Letzter Fall dieses Ermittlerteams
462,Nichts mehr im Griff,ORF,2001-01-28,Eisner,5,Peter Zingler,Walter Bannert,
463,Mördergrube,WDR,2001-02-25,Ballauf und Schenk,16,Robert Schwentke,Christiane Balthasar,
464,Ein mörderisches Märchen,BR,2001-03-04,Batic und Leitmayr,28,Daniel Martin Eckhart,Manuel Siebenmann,Nominiert für den Adolf-Grimme-Preis 2002
465,Trübe Wasser,MDR,2001-03-11,Ehrlicher und Kain,25,Horst Freund,Thomas Freundner,
466,Berliner Bärchen,SFB,2001-03-25,Ritter und Stark,7,"Andreas Pflüger, Pim Richter",Detlef Rönfeldt,
467,Unschuldig,HR,2001-04-16,Brinkmann,27,Klaus Gietinger,Klaus Gietinger,
468,Der Präsident,SWR,2001-04-22,Odenthal und Kopper,21,Thomas Bohn,Thomas Bohn,
469,Bienzle und der heimliche Zeuge,SWR,2001-05-06,Bienzle,13,Felix Huby,Arend Agthe,Gastauftritt der damaligen Bundesjustizministerin Herta Däubler-Gmelin
470,Gute Freunde,SWR,2001-05-13,Odenthal und Kopper,22,Harald Göckeritz,Martin Gies,
471,Totenmesse,MDR,2001-05-20,Ehrlicher und Kain,26,"Pim Richter, Andreas Pflüger",Thomas Freundner,
472,Kindstod,WDR,2001-06-17,Ballauf und Schenk,17,Edgar von Cossart,Claudia Garde,Deutscher Fernsehpreis 2001 (Beste Schauspielerin Nebenrolle) an Anna Thalbach. Goldener Gong an die Produzentin Sonja Goslicki
473,Der lange Arm des Zufalls,SFB,2001-07-08,Ritter und Stark,8,Lienhard Wawrzyn,Ralph Bohn,
474,Fette Krieger,SWR,2001-07-15,Odenthal und Kopper,23,"Dominik Reding, Peter Lennartz (Vorlage)",Dominik Reding,
475,Böses Blut,ORF,2001-07-22,Eisner,6,Felix Mitterer,Peter Sämann,Erstausstrahlung am 16. Dezember 2000 auf ORF 2. Erst nach der Erstausstrahlung zum Tatort umgewidmet.[16]
476,Tot bist Du!,SFB,2001-08-05,Ritter und Stark,9,Daniela Mohr,Diethard Küster,
